iter	MultiClass
0	1.285425625
1	1.225994063
2	1.188327891
3	1.163324922
4	1.146375
5	1.134619688
6	1.126461328
7	1.120756484
8	1.116624297
9	1.113459531
10	1.111236563
11	1.109483984
12	1.108060312
13	1.107119531
14	1.106118906
15	1.105419375
16	1.104657266
17	1.103996094
18	1.103434844
19	1.102985391
20	1.102516016
21	1.102118906
22	1.101837812
23	1.101491953
24	1.101152266
25	1.100827266
26	1.100371172
27	1.099925547
28	1.099550938
29	1.099247188
30	1.098807266
31	1.0985025
32	1.098303984
33	1.098018594
34	1.09773
35	1.097428359
36	1.097130703
37	1.096847969
38	1.096618281
39	1.096359531
40	1.096132969
41	1.095840078
42	1.095615078
43	1.095349922
44	1.095084219
45	1.094863203
46	1.09461125
47	1.094400781
48	1.094225703
49	1.093974453
50	1.093835781
51	1.093611953
52	1.093484297
53	1.093307656
54	1.093079375
55	1.0929
56	1.092656172
57	1.092498047
58	1.092327031
59	1.092129922
60	1.091907422
61	1.091773125
62	1.091650781
63	1.091473359
64	1.091290859
65	1.091089297
66	1.090876797
67	1.090730703
68	1.09062125
69	1.090395156
70	1.090196172
71	1.090073672
72	1.089854375
73	1.089686172
74	1.089539688
75	1.089320078
76	1.089127266
77	1.088966719
78	1.088844141
79	1.088638906
80	1.088510547
81	1.088368125
82	1.088259141
83	1.088146719
84	1.088017812
85	1.087916797
86	1.087808672
87	1.087687578
88	1.0875875
89	1.087452734
90	1.087319766
91	1.087187266
92	1.087078594
93	1.086980156
94	1.086873672
95	1.086764844
96	1.086594062
97	1.086477734
98	1.086299609
99	1.086194922
100	1.086125469
101	1.0860175
102	1.085949375
103	1.085785078
104	1.085663906
105	1.085587188
106	1.085529531
107	1.085465234
108	1.085366094
109	1.085239531
110	1.085120703
111	1.085003594
112	1.084902422
113	1.084766719
114	1.084652031
115	1.084568281
116	1.084469766
117	1.084379922
118	1.084374687
119	1.0842925
120	1.084208281
121	1.084087344
122	1.083934766
123	1.083871797
124	1.083728281
125	1.083628359
126	1.083622891
127	1.083526094
128	1.083520703
129	1.083469609
130	1.083394453
131	1.083305391
132	1.083211172
133	1.083108594
134	1.083042813
135	1.083038281
136	1.082941719
137	1.082861406
138	1.082857656
139	1.082801797
140	1.082797969
141	1.082723281
142	1.082719063
143	1.082642813
144	1.082638437
145	1.082547656
146	1.082398672
147	1.082394609
148	1.082390703
149	1.082283906
150	1.08219
151	1.082136562
152	1.082044375
153	1.081974688
154	1.081890078
155	1.081817812
156	1.081707031
157	1.081611484
158	1.081607031
159	1.081545781
160	1.081443672
161	1.081370313
162	1.081339844
163	1.081335703
164	1.081256719
165	1.081178047
166	1.081103828
167	1.0811
168	1.081047891
169	1.080970703
170	1.080887344
171	1.080791172
172	1.080735313
173	1.080732109
174	1.080729297
175	1.08065875
176	1.080598516
