iter	Passed	Remaining
0	11	4643
1	21	4327
2	31	4170
3	42	4181
4	52	4182
5	62	4136
6	73	4146
7	84	4124
8	95	4133
9	106	4140
10	118	4181
11	128	4159
12	140	4181
13	150	4155
14	160	4128
15	171	4111
16	181	4082
17	191	4064
18	201	4041
19	212	4031
20	222	4006
21	233	4004
22	242	3978
23	253	3967
24	263	3958
25	274	3942
26	284	3935
27	295	3922
28	305	3904
29	315	3890
30	325	3877
31	334	3850
32	345	3843
33	355	3826
34	365	3814
35	376	3809
36	386	3795
37	397	3782
38	406	3760
39	416	3748
40	426	3733
41	437	3726
42	446	3709
43	456	3693
44	467	3684
45	476	3667
46	485	3647
47	494	3626
48	503	3607
49	512	3587
50	521	3566
51	530	3547
52	539	3530
53	548	3514
54	557	3497
55	567	3486
56	576	3470
57	586	3457
58	595	3441
59	604	3426
60	614	3416
61	623	3399
62	632	3383
63	641	3365
64	650	3352
65	659	3335
66	667	3318
67	677	3306
68	684	3284
69	693	3269
70	703	3260
71	712	3244
72	720	3229
73	729	3214
74	740	3206
75	749	3193
76	759	3186
77	769	3176
78	779	3168
79	788	3155
80	798	3144
81	807	3131
82	819	3129
83	827	3114
84	838	3106
85	847	3094
86	856	3081
87	864	3066
88	872	3049
89	881	3034
90	889	3019
91	897	3006
92	906	2993
93	916	2982
94	926	2973
95	934	2960
96	942	2944
97	951	2932
98	960	2920
99	969	2907
100	977	2894
101	986	2881
102	995	2869
103	1003	2855
104	1011	2843
105	1020	2829
106	1029	2819
107	1037	2805
108	1046	2795
109	1055	2781
110	1065	2773
111	1074	2763
112	1083	2752
113	1091	2739
114	1101	2728
115	1109	2715
116	1117	2702
117	1125	2689
118	1132	2675
119	1141	2664
120	1149	2650
121	1158	2638
122	1166	2626
123	1174	2613
124	1183	2602
125	1191	2590
126	1199	2577
127	1207	2566
128	1216	2555
129	1225	2545
130	1233	2533
131	1243	2524
132	1252	2515
133	1263	2507
134	1272	2498
135	1283	2492
136	1292	2480
137	1301	2471
138	1312	2464
139	1322	2455
140	1359	2497
141	1371	2491
142	1379	2479
143	1388	2467
144	1396	2455
145	1406	2447
146	1415	2435
147	1423	2423
148	1431	2411
149	1440	2400
150	1448	2388
151	1456	2377
152	1466	2366
153	1474	2355
154	1484	2346
155	1492	2334
156	1501	2324
157	1510	2313
158	1519	2303
159	1527	2291
160	1536	2280
161	1545	2270
162	1553	2259
163	1563	2249
164	1572	2238
165	1581	2229
166	1590	2219
167	1599	2208
168	1608	2198
169	1617	2187
170	1626	2178
171	1635	2168
172	1645	2158
173	1654	2148
174	1663	2138
175	1671	2127
176	1681	2118
177	1690	2108
178	1700	2099
179	1708	2087
180	1716	2077
181	1725	2067
182	1735	2057
183	1743	2046
184	1751	2036
185	1760	2025
186	1768	2014
187	1777	2004
188	1785	1992
189	1794	1983
190	1802	1972
191	1811	1962
192	1821	1953
193	1830	1943
194	1839	1933
195	1849	1924
196	1859	1915
197	1868	1905
198	1875	1894
199	1884	1884
200	1893	1874
201	1901	1864
202	1910	1854
203	1919	1844
204	1928	1834
205	1936	1823
206	1944	1812
207	1953	1802
208	1960	1791
209	1969	1781
210	1977	1771
211	1986	1761
212	1994	1751
213	2002	1740
214	2011	1730
215	2019	1720
216	2029	1711
217	2037	1700
218	2046	1691
219	2055	1681
220	2063	1671
221	2071	1660
222	2079	1650
223	2088	1640
224	2096	1630
225	2104	1620
226	2112	1609
227	2120	1599
228	2128	1589
229	2137	1579
230	2146	1570
231	2156	1561
232	2165	1552
233	2175	1543
234	2185	1534
235	2194	1525
236	2204	1516
237	2214	1507
238	2223	1497
239	2233	1488
240	2241	1478
241	2252	1470
242	2260	1460
243	2270	1451
244	2279	1441
245	2288	1432
246	2297	1423
247	2305	1413
248	2315	1403
249	2323	1393
250	2331	1384
251	2340	1374
252	2349	1365
253	2358	1355
254	2367	1346
255	2377	1337
256	2386	1327
257	2394	1317
258	2402	1308
259	2411	1298
260	2422	1290
261	2431	1280
262	2438	1270
263	2447	1260
264	2456	1251
265	2464	1241
266	2473	1232
267	2482	1222
268	2489	1212
269	2497	1202
270	2506	1193
271	2514	1183
272	2523	1173
273	2531	1163
274	2539	1154
275	2547	1144
276	2555	1134
277	2564	1125
278	2573	1116
279	2582	1106
280	2589	1096
281	2598	1087
282	2607	1077
283	2616	1068
284	2624	1059
285	2633	1049
286	2641	1040
287	2649	1030
288	2658	1021
289	2666	1011
290	2674	1001
291	2682	992
292	2690	982
293	2699	973
294	2708	963
295	2716	954
296	2724	944
297	2733	935
298	2742	926
299	2751	917
300	2759	907
301	2769	898
302	2778	889
303	2786	880
304	2795	870
305	2804	861
306	2812	851
307	2819	842
308	2828	833
309	2836	823
310	2844	814
311	2852	804
312	2860	795
313	2868	785
314	2876	776
315	2885	766
316	2892	757
317	2901	748
318	2909	738
319	2917	729
320	2926	720
321	2934	710
322	2943	701
323	2950	692
324	2959	682
325	2966	673
326	2974	664
327	2983	654
328	2993	645
329	3001	636
330	3009	627
331	3017	618
332	3025	608
333	3034	599
334	3044	590
335	3053	581
336	3060	572
337	3069	563
338	3078	553
339	3087	544
340	3096	535
341	3104	526
342	3113	517
343	3121	508
344	3130	499
345	3138	489
346	3148	480
347	3156	471
348	3165	462
349	3175	453
350	3185	444
351	3194	435
352	3203	426
353	3212	417
354	3222	408
355	3231	399
356	3239	390
357	3248	381
358	3257	372
359	3266	362
360	3274	353
361	3284	344
362	3294	335
363	3304	326
364	3314	317
365	3323	308
366	3331	299
367	3340	290
368	3349	281
